,probe_id
1,cg18478105
2,cg09835024
3,cg14361672
4,cg01763666
5,cg02115394
6,cg25813447
7,cg07779434
8,cg13417420
9,cg26724186
10,cg24133276
11,cg13773083
12,cg17236668
13,cg19607165
14,cg08770523
15,cg24040570
16,cg15998406
17,cg11947782
18,cg14361409
19,cg00376553
20,cg12898275
21,cg21650422
22,cg24176744
23,cg08360726
24,cg07469408
25,cg08730728
26,cg05738196
27,cg22782271
28,cg26846647
29,cg24568647
30,cg01415275
31,cg00172270
32,cg27548741
33,cg09659208
34,cg19568003
35,cg11385013
36,cg11564042
37,cg09955683
38,cg15972572
39,cg03970319
40,cg15034345
41,cg15775835
42,cg17579075
43,cg17693420
44,cg14428027
45,cg17305436
46,cg16178289
47,cg25593794
48,cg26676405
49,cg16315238
50,cg15241920
51,cg00019576
52,cg14473344
53,cg18340446
54,cg25857090
55,cg00426921
56,cg02980693
57,cg24940967
58,cg13413387
59,cg14604802
60,cg17579214
61,cg00645593
62,cg18347642
63,cg16550477
64,cg27263894
65,cg00418216
66,cg18764577
67,cg21187462
68,cg19148297
69,cg26012731
70,cg17412405
71,cg04586126
72,cg15004949
73,cg23947919
74,cg25443851
75,cg11968091
76,cg02690159
77,cg01992107
78,cg11856078
79,cg15545739
80,cg04680436
81,cg24500959
82,cg10051299
83,cg25751266
84,cg05794227
85,cg22471742
86,cg19805311
87,cg02570527
88,cg15283028
89,cg10366786
90,cg22662829
91,cg19605909
92,cg16490896
93,cg24016056
94,cg01569664
95,cg08193650
96,cg22448308
97,cg23266594
98,cg26872137
99,cg13481974
100,cg08055924
101,cg07821574
102,cg12588082
103,cg13823403
104,cg00382930
105,cg18553354
106,cg26317006
107,cg21855135
108,cg07102302
109,cg11413800
110,cg14491479
111,cg12773394
112,cg04452437
113,cg02710296
114,cg24915371
115,cg24092000
116,cg15360169
117,cg22914934
118,cg26196700
119,cg22014737
120,cg00172330
121,cg25479788
122,cg09649245
123,cg04358214
124,cg14863074
125,cg13547268
126,cg03041027
127,cg15929587
128,cg04006656
129,cg19591206
130,cg21604743
131,cg11843188
132,cg22374058
133,cg19306063
134,cg19747604
135,cg15949830
136,cg02550231
137,cg12513589
138,cg18142940
139,cg06637938
140,cg14108711
141,cg15198235
142,cg05316555
143,cg26802063
144,cg13419791
145,cg10766103
146,cg02842889
147,cg19897251
148,cg25257709
149,cg23518257
150,cg26549029
151,cg11898486
152,cg11926444
153,cg03044510
154,cg03582371
155,cg05845292
156,cg25950325
157,cg03045721
158,cg08482978
159,cg14240733
160,cg14277925
161,cg07159871
162,cg24952959
163,cg11029746
164,cg11691038
165,cg24054938
166,cg23467008
167,cg01282150
168,cg09591072
169,cg08039704
170,cg03070533
171,cg11906176
172,cg10741153
173,cg21746222
174,cg18755191
175,cg24569624
176,cg12201498
177,cg14598373
178,cg14753458
179,cg24666276
180,cg12104982
181,cg13968182
182,cg14106119
183,cg15482690
184,cg07603357
185,cg00012701
186,cg03442564
187,cg16169732
188,cg25928603
189,cg04231085
190,cg00792783
191,cg01471196
192,cg09192059
193,cg24954668
194,cg12019980
195,cg14759472
196,cg04701628
197,cg21565823
198,cg23808931
199,cg17374534
200,cg24283027
201,cg06801994
